Transaction ID,Date,Month Year,Account Number,Transaction Type,Amount,Source System,Reconciliation Status,Discrepancy Reason,Currency,Branch Code,Processed By,Approval Status,Comments,Transaction Mode,Last Modified
TXN000019,1/10/2024,Jan 2024,ACC000015,Payment,-4897.44,ERP,Matched,None,NGN,BRC018,User_47,Pending,Needs review,ATM,1/10/2024
TXN000020,3/7/2024,Mar 2024,ACC000113,Deposit,2936.71,CRM,Pending,Duplicate,EUR,BRC018,User_36,Approved,No Comments,Online,3/7/2024
TXN000021,2/10/2024,Feb 2024,ACC000266,Invoice,14334,CRM,Pending,None,GBP,Unknown,User_30,Approved,Duplicate entry,Online,2/10/2024
TXN000022,1/29/2024,Jan 2024,ACC000306,Deposit,3321.7,Payroll,Mismatched,Missing,NGN,BRC008,User_14,Rejected,Urgent,Manual Entry,1/29/2024
TXN000023,3/12/2024,Mar 2024,ACC000345,Payment,14571.07,Payroll,Matched,None,NGN,BRC004,User_32,Pending,Needs review,ATM,3/12/2024
TXN000024,1/14/2024,Jan 2024,ACC000263,Invoice,13212.34,ERP,Matched,None,USD,BRC005,User_28,Rejected,Needs review,POS,1/14/2024
TXN000025,3/8/2024,Mar 2024,ACC000156,Withdrawal,12683.48,Payroll,Pending,Duplicate,USD,BRC002,User_1,Rejected,Urgent,ATM,3/8/2024
TXN000026,3/9/2024,Mar 2024,ACC000254,Withdrawal,14542.93,CRM,Adjusted,Duplicate,GBP,BRC005,User_10,Approved,No Comments,Online,
TXN000027,3/24/2024,Mar 2024,ACC000244,Payment,9649.73,ERP,Matched,None,NGN,BRC014,User_44,Approved,No Comments,ATM,3/24/2024
TXN000028,1/15/2024,Jan 2024,ACC000056,Withdrawal,11038.72,Bank,Matched,None,NGN,BRC013,User_34,Pending,Needs review,ATM,1/15/2024
TXN000029,3/15/2024,Mar 2024,ACC000434,Transfer,14253.93,General Ledger,Pending,Missing,GBP,BRC008,User_31,Rejected,Urgent,Online,3/15/2024
TXN000030,2/20/2024,Feb 2024,ACC000488,Withdrawal,14342,CRM,Matched,None,EUR,BRC016,User_46,Approved,No Comments,Wire Transfer,2/20/2024
TXN000031,2/3/2024,Feb 2024,ACC000461,Deposit,12043.7,Payroll,Mismatched,Missing,NGN,BRC005,User_8,Rejected,Duplicate entry,POS,2/3/2024
TXN000032,2/18/2024,Feb 2024,ACC000478,Payment,2006.38,Bank,Pending,Missing,CAD,BRC011,User_20,Approved,Needs review,Manual Entry,2/18/2024
TXN000033,3/7/2024,Mar 2024,ACC000330,Withdrawal,3433.61,General Ledger,Mismatched,Incorrect Amount,GBP,BRC020,User_14,Pending,Incorrect amount,ATM,3/7/2024
TXN000034,3/12/2024,Mar 2024,ACC000360,Withdrawal,-1978.93,ERP,Matched,None,Unknown,BRC010,User_40,Rejected,Duplicate entry,ATM,3/12/2024
TXN000035,2/28/2024,Feb 2024,ACC000473,Deposit,14456.7,Unknown,Matched,None,EUR,BRC004,User_21,Approved,Urgent,Manual Entry,2/28/2024
TXN000036,3/2/2024,Mar 2024,ACC000235,Payment,-2998.87,Payroll,Pending,None,NGN,BRC005,User_23,Approved,No Comments,ATM,3/2/2024
TXN000037,3/1/2024,Mar 2024,ACC000401,Transfer,13674.39,General Ledger,Pending,Duplicate,CAD,BRC009,User_16,Approved,No Comments,Online,3/1/2024
TXN000038,3/5/2024,Mar 2024,ACC000467,Payment,5130.96,Bank,Matched,None,CAD,BRC012,User_13,Rejected,Confirmed,POS,3/5/2024
TXN000039,1/26/2024,Jan 2024,ACC000248,Invoice,3825.86,ERP,Mismatched,Incorrect Amount,EUR,BRC009,User_7,Approved,No Comments,POS,1/26/2024
TXN000040,2/10/2024,Feb 2024,ACC000456,Deposit,14286.33,Payroll,Pending,Duplicate,USD,BRC003,User_33,Rejected,Urgent,Wire Transfer,2/10/2024
TXN000041,1/9/2024,Jan 2024,ACC000110,Deposit,12969.32,CRM,Mismatched,Incorrect Amount,USD,BRC009,User_17,Rejected,Confirmed,Online,1/9/2024
TXN000042,3/31/2024,Mar 2024,ACC000205,Invoice,-2599.54,Bank,Pending,Duplicate,USD,BRC013,User_9,Approved,Incorrect amount,Wire Transfer,3/31/2024
TXN000043,1/8/2024,Jan 2024,ACC000256,Invoice,4636.88,CRM,Adjusted,Duplicate,EUR,BRC004,User_7,Approved,Incorrect amount,ATM,
TXN000044,1/15/2024,Jan 2024,ACC000351,Transfer,3234.67,ERP,Pending,Duplicate,USD,BRC004,User_11,Approved,Incorrect amount,Online,1/15/2024
TXN000045,2/29/2024,Feb 2024,ACC000308,Withdrawal,6770.77,CRM,Mismatched,None,EUR,BRC001,User_24,Rejected,Incorrect amount,Manual Entry,2/29/2024
TXN000046,2/13/2024,Feb 2024,ACC000275,Payment,-817.23,Payroll,Matched,None,CAD,BRC004,User_38,Rejected,No Comments,POS,2/13/2024
TXN000047,1/29/2024,Jan 2024,ACC000008,Transfer,571.47,Payroll,Pending,None,NGN,BRC006,User_17,Approved,No Comments,Online,1/29/2024
TXN000048,2/6/2024,Feb 2024,ACC000384,Deposit,2501.08,Bank,Mismatched,Missing,CAD,BRC004,User_28,Pending,Duplicate entry,Manual Entry,2/6/2024
TXN000049,3/5/2024,Mar 2024,ACC000087,Withdrawal,-2818.35,ERP,Mismatched,None,CAD,BRC007,User_33,Rejected,Urgent,Wire Transfer,3/5/2024
TXN000050,2/4/2024,Feb 2024,ACC000124,Invoice,1784.9,Payroll,Pending,Duplicate,GBP,BRC015,User_21,Pending,No Comments,Manual Entry,2/4/2024
TXN000051,3/7/2024,Mar 2024,,Invoice,-176.94,ERP,Matched,None,EUR,BRC004,User_41,Rejected,Needs review,ATM,3/7/2024
TXN000052,3/9/2024,Mar 2024,ACC000367,Payment,247.31,Bank,Mismatched,Incorrect Amount,NGN,BRC011,User_32,Approved,Incorrect amount,Online,3/9/2024
TXN000053,2/22/2024,Feb 2024,ACC000267,Withdrawal,8528.88,Payroll,Matched,None,EUR,BRC008,User_14,Rejected,Needs review,Manual Entry,2/22/2024
TXN000054,3/24/2024,Mar 2024,ACC000417,Unknown,13425.26,Payroll,Mismatched,Missing,NGN,BRC020,User_40,Approved,Urgent,Wire Transfer,3/24/2024
TXN000055,1/26/2024,Jan 2024,ACC000162,Payment,6490.31,Payroll,Matched,None,GBP,BRC002,User_42,Pending,No Comments,Wire Transfer,1/26/2024
TXN000056,3/28/2024,Mar 2024,ACC000378,Payment,-3546.47,Payroll,Matched,None,CAD,BRC001,User_35,Approved,Confirmed,Wire Transfer,3/28/2024
TXN000057,1/29/2024,Jan 2024,ACC000463,Withdrawal,11465.75,CRM,Pending,None,NGN,BRC011,User_37,Pending,Needs review,Online,1/29/2024
TXN000058,1/27/2024,Jan 2024,ACC000306,Payment,-3179.15,Payroll,Matched,None,EUR,BRC003,User_12,Pending,No Comments,Manual Entry,1/27/2024
TXN000059,3/26/2024,Mar 2024,ACC000383,Deposit,7653.98,General Ledger,Mismatched,Incorrect Amount,GBP,BRC008,User_26,Pending,Urgent,POS,3/26/2024
TXN000060,1/1/2024,Jan 2024,ACC000017,Invoice,7120.02,ERP,Mismatched,None,CAD,BRC004,User_49,Pending,Duplicate entry,POS,1/1/2024
TXN000061,2/11/2024,Feb 2024,ACC000483,Transfer,-3158.73,Payroll,Adjusted,None,USD,BRC013,User_18,Approved,Confirmed,Online,2/11/2024
TXN000062,2/29/2024,Feb 2024,ACC000049,Invoice,-3678.44,General Ledger,Matched,None,Unknown,BRC011,User_3,Approved,Duplicate entry,Wire Transfer,2/29/2024
TXN000063,3/29/2024,Mar 2024,ACC000134,Payment,8890.16,General Ledger,Pending,Duplicate,USD,Unknown,User_12,Approved,Confirmed,ATM,3/29/2024
TXN000064,3/6/2024,Mar 2024,ACC000003,Deposit,6500.35,CRM,Pending,None,EUR,BRC007,User_5,Approved,Duplicate entry,ATM,3/6/2024
TXN000065,3/6/2024,Mar 2024,ACC000286,Invoice,-3292.51,CRM,Adjusted,Missing,GBP,BRC017,User_42,Pending,Needs review,Manual Entry,3/6/2024
TXN000066,3/29/2024,Mar 2024,ACC000006,Payment,-1046.65,General Ledger,Mismatched,Missing,Unknown,BRC020,User_43,Rejected,Incorrect amount,Online,3/29/2024
TXN000067,2/10/2024,Feb 2024,ACC000266,Transfer,11701.28,General Ledger,Pending,Missing,USD,BRC018,User_36,Rejected,No Comments,Wire Transfer,2/10/2024
TXN000068,1/8/2024,Jan 2024,ACC000404,Transfer,9919.44,General Ledger,Adjusted,Incorrect Amount,GBP,BRC006,User_30,Rejected,Duplicate entry,Manual Entry,1/8/2024
TXN000069,1/25/2024,Jan 2024,ACC000013,Withdrawal,10156.4,Bank,Mismatched,Incorrect Amount,CAD,BRC016,User_23,Approved,Incorrect amount,Online,1/25/2024
TXN000070,2/26/2024,Feb 2024,ACC000027,Withdrawal,9941.32,General Ledger,Pending,Incorrect Amount,USD,BRC006,User_29,Approved,No Comments,ATM,2/26/2024
TXN000071,3/13/2024,Mar 2024,ACC000043,Deposit,1071.84,ERP,Mismatched,Incorrect Amount,NGN,BRC015,User_4,Rejected,Incorrect amount,Online,3/13/2024
TXN000072,1/30/2024,Jan 2024,ACC000320,Invoice,198.7,Bank,Matched,None,NGN,BRC014,User_3,Approved,Confirmed,Wire Transfer,1/30/2024
TXN000073,3/23/2024,Mar 2024,ACC000397,Transfer,8582.08,General Ledger,Pending,Duplicate,CAD,BRC003,User_25,Rejected,Needs review,Manual Entry,3/23/2024
TXN000074,2/21/2024,Feb 2024,ACC000214,Deposit,9237.61,Payroll,Adjusted,Duplicate,EUR,BRC003,User_16,Approved,Confirmed,Manual Entry,2/21/2024
TXN000075,1/2/2024,Jan 2024,ACC000196,Withdrawal,12824.56,ERP,Matched,None,GBP,BRC018,User_38,Rejected,Urgent,Wire Transfer,1/2/2024
TXN000076,2/24/2024,Feb 2024,ACC000075,Withdrawal,2016.24,ERP,Adjusted,None,EUR,BRC014,User_3,Rejected,Incorrect amount,POS,2/24/2024
TXN000077,3/2/2024,Mar 2024,ACC000448,Withdrawal,-2127.26,Payroll,Matched,None,USD,BRC014,User_12,Approved,Incorrect amount,Manual Entry,3/2/2024
TXN000078,3/2/2024,Mar 2024,ACC000138,Deposit,-3902.76,Bank,Pending,Duplicate,USD,BRC001,User_28,Pending,Urgent,ATM,3/2/2024
TXN000079,3/11/2024,Mar 2024,ACC000034,Withdrawal,4384.49,Payroll,Adjusted,Duplicate,EUR,BRC003,User_27,Rejected,Confirmed,Wire Transfer,3/11/2024
TXN000080,1/18/2024,Jan 2024,ACC000218,Transfer,8197.74,Bank,Adjusted,Duplicate,USD,BRC018,User_9,Unknown,Urgent,ATM,1/18/2024
TXN000081,2/29/2024,Feb 2024,ACC000381,Invoice,1002.36,Unknown,Mismatched,Duplicate,EUR,BRC019,User_46,Rejected,Urgent,Online,2/29/2024
TXN000082,1/31/2024,Jan 2024,ACC000009,Withdrawal,2701.25,CRM,Adjusted,None,USD,BRC013,User_12,Rejected,Duplicate entry,Online,1/31/2024
TXN000083,1/11/2024,Jan 2024,ACC000291,Transfer,12727.94,Payroll,Matched,None,Unknown,BRC014,User_49,Unknown,Urgent,ATM,1/11/2024
TXN000084,2/5/2024,Feb 2024,ACC000490,Transfer,2932.39,Unknown,Pending,Missing,USD,BRC002,User_31,Pending,Incorrect amount,Manual Entry,2/5/2024
TXN000085,3/22/2024,Mar 2024,ACC000373,Transfer,96.6,CRM,Mismatched,None,NGN,BRC007,User_49,Approved,Confirmed,POS,3/22/2024
TXN000086,2/14/2024,Feb 2024,ACC000229,Payment,-2379.29,CRM,Matched,None,EUR,BRC005,User_36,Unknown,Needs review,Wire Transfer,2/14/2024
TXN000087,1/8/2024,Jan 2024,ACC000329,Withdrawal,1118.75,General Ledger,Adjusted,Missing,CAD,BRC004,User_28,Rejected,Urgent,ATM,1/8/2024
TXN000088,3/25/2024,Mar 2024,ACC000324,Withdrawal,396.46,Payroll,Pending,Incorrect Amount,USD,BRC005,User_17,Approved,Incorrect amount,Manual Entry,3/25/2024
TXN000089,3/18/2024,Mar 2024,ACC000349,Withdrawal,-2718.56,ERP,Adjusted,Missing,USD,BRC005,User_8,Approved,Confirmed,POS,3/18/2024
TXN000090,1/20/2024,Jan 2024,ACC000294,Unknown,14592.2,CRM,Pending,None,CAD,BRC008,User_35,Rejected,Needs review,Manual Entry,
TXN000091,2/1/2024,Feb 2024,ACC000163,Unknown,7711.74,General Ledger,Mismatched,Missing,EUR,BRC012,User_31,Rejected,Duplicate entry,ATM,2/1/2024
TXN000092,3/23/2024,Mar 2024,ACC000471,Payment,8648.97,Payroll,Pending,Duplicate,EUR,BRC001,User_47,Rejected,No Comments,Unknown,3/23/2024
TXN000093,1/1/2024,Jan 2024,ACC000013,Withdrawal,765.17,Bank,Pending,Missing,GBP,BRC007,User_8,Pending,Urgent,ATM,1/1/2024
TXN000094,2/15/2024,Feb 2024,ACC000062,Transfer,4594.33,Bank,Pending,None,USD,BRC018,User_9,Rejected,Confirmed,Wire Transfer,2/15/2024
TXN000095,2/9/2024,Feb 2024,,Withdrawal,3322.72,ERP,Pending,Missing,USD,BRC002,User_31,Rejected,Duplicate entry,Wire Transfer,2/9/2024
TXN000096,1/15/2024,Jan 2024,ACC000268,Payment,523.25,ERP,Pending,Incorrect Amount,NGN,BRC001,User_13,Pending,Urgent,Manual Entry,1/15/2024
TXN000097,1/20/2024,Jan 2024,ACC000141,Deposit,-1115.04,CRM,Mismatched,Duplicate,NGN,BRC017,User_8,Approved,Urgent,Online,
TXN000098,3/9/2024,Mar 2024,ACC000199,Deposit,-122.19,Unknown,Adjusted,None,CAD,BRC014,User_22,Pending,Needs review,Manual Entry,3/9/2024
TXN000099,2/10/2024,Feb 2024,ACC000043,Withdrawal,-1741.5,CRM,Matched,None,USD,BRC010,User_38,Approved,Needs review,POS,2/10/2024
TXN000100,2/12/2024,Feb 2024,ACC000338,Payment,14462.48,ERP,Matched,None,NGN,BRC001,User_17,Rejected,Needs review,Online,2/12/2024
TXN000101,1/12/2024,Jan 2024,ACC000273,Transfer,746.41,Bank,Matched,None,GBP,BRC013,User_42,Rejected,No Comments,Wire Transfer,1/12/2024
TXN000102,1/12/2024,Jan 2024,ACC000267,Deposit,10562.89,Payroll,Matched,None,CAD,BRC016,User_43,Approved,No Comments,Wire Transfer,1/12/2024
TXN000103,3/8/2024,Mar 2024,ACC000402,Invoice,1801.59,Payroll,Matched,None,CAD,BRC019,User_37,Approved,No Comments,Wire Transfer,3/8/2024
TXN000104,1/2/2024,Jan 2024,ACC000194,Transfer,963.5,CRM,Pending,None,GBP,BRC003,User_3,Approved,Incorrect amount,Online,1/2/2024
TXN000105,3/10/2024,Mar 2024,ACC000196,Deposit,12474.86,ERP,Matched,None,CAD,BRC012,User_7,Pending,Incorrect amount,Wire Transfer,3/10/2024
TXN000106,3/9/2024,Mar 2024,ACC000449,Payment,7080.5,Bank,Pending,Incorrect Amount,NGN,BRC016,User_3,Pending,No Comments,Wire Transfer,3/9/2024
TXN000107,2/24/2024,Feb 2024,ACC000085,Invoice,9040.74,Payroll,Matched,None,CAD,BRC006,User_49,Approved,Urgent,ATM,2/24/2024
TXN000108,1/27/2024,Jan 2024,ACC000143,Withdrawal,33.24,Payroll,Matched,None,NGN,BRC004,User_24,Approved,Needs review,Online,1/27/2024
TXN000109,2/7/2024,Feb 2024,ACC000293,Transfer,12132.06,Bank,Pending,None,NGN,BRC007,User_28,Rejected,Urgent,ATM,2/7/2024
TXN000110,3/30/2024,Mar 2024,ACC000130,Invoice,8525.33,ERP,Adjusted,Duplicate,USD,BRC018,System,Pending,Incorrect amount,Online,3/30/2024
TXN000111,3/3/2024,Mar 2024,ACC000182,Payment,8929.85,Bank,Pending,Missing,NGN,BRC015,User_48,Rejected,No Comments,ATM,3/3/2024
TXN000112,2/26/2024,Feb 2024,ACC000028,Invoice,-2489.45,Unknown,Adjusted,Incorrect Amount,GBP,BRC013,User_50,Pending,Duplicate entry,Wire Transfer,
TXN000113,3/20/2024,Mar 2024,ACC000174,Payment,500.5,Payroll,Matched,None,USD,BRC016,User_13,Pending,Duplicate entry,ATM,3/20/2024
TXN000114,3/18/2024,Mar 2024,ACC000019,Payment,14492.92,Payroll,Matched,None,NGN,BRC007,User_35,Unknown,No Comments,Unknown,3/18/2024
TXN000115,2/24/2024,Feb 2024,ACC000448,Transfer,-1819.12,Bank,Pending,Duplicate,CAD,BRC001,User_11,Approved,Incorrect amount,POS,2/24/2024
TXN000116,3/24/2024,Mar 2024,,Payment,4760.32,Bank,Matched,None,NGN,BRC007,User_43,Pending,Confirmed,ATM,3/24/2024
TXN000117,3/25/2024,Mar 2024,ACC000051,Invoice,-4190.64,CRM,Adjusted,Incorrect Amount,EUR,BRC001,User_30,Approved,No Comments,POS,
TXN000118,1/6/2024,Jan 2024,ACC000009,Deposit,13991.8,Bank,Pending,Incorrect Amount,NGN,BRC001,User_40,Pending,No Comments,ATM,1/6/2024
TXN000119,3/19/2024,Mar 2024,ACC000446,Deposit,965.45,CRM,Adjusted,Duplicate,EUR,BRC014,User_48,Pending,Incorrect amount,Wire Transfer,3/19/2024
TXN000120,3/18/2024,Mar 2024,ACC000098,Deposit,9195.77,CRM,Matched,None,GBP,BRC019,User_29,Pending,Urgent,ATM,3/18/2024
TXN000121,3/2/2024,Mar 2024,ACC000263,Deposit,14977.41,Bank,Mismatched,Missing,NGN,BRC010,User_4,Unknown,Needs review,POS,3/2/2024
TXN000122,1/26/2024,Jan 2024,ACC000385,Invoice,3046.63,Payroll,Mismatched,Missing,CAD,BRC007,User_22,Approved,Incorrect amount,ATM,1/26/2024
TXN000123,2/8/2024,Feb 2024,ACC000312,Withdrawal,10498.2,General Ledger,Adjusted,None,EUR,BRC011,User_10,Pending,Confirmed,Online,2/8/2024
TXN000124,2/21/2024,Feb 2024,ACC000093,Invoice,-2481.32,CRM,Adjusted,Missing,CAD,BRC018,User_30,Approved,Duplicate entry,Online,2/21/2024
TXN000125,1/6/2024,Jan 2024,ACC000390,Withdrawal,3939.69,CRM,Mismatched,Incorrect Amount,CAD,BRC020,User_21,Rejected,No Comments,ATM,1/6/2024
TXN000126,3/22/2024,Mar 2024,ACC000407,Withdrawal,7432.18,CRM,Mismatched,Missing,CAD,BRC014,User_40,Rejected,Needs review,Manual Entry,3/22/2024
TXN000127,2/24/2024,Feb 2024,ACC000278,Payment,2960.21,Payroll,Pending,None,USD,BRC007,User_26,Pending,Duplicate entry,POS,2/24/2024
TXN000128,3/15/2024,Mar 2024,ACC000325,Payment,-2992.6,General Ledger,Pending,Incorrect Amount,CAD,BRC002,User_5,Approved,Urgent,Online,3/15/2024
TXN000129,1/28/2024,Jan 2024,ACC000049,Withdrawal,11718.86,General Ledger,Mismatched,None,GBP,BRC014,User_36,Pending,Confirmed,ATM,1/28/2024
TXN000130,2/13/2024,Feb 2024,ACC000319,Invoice,9074.78,Payroll,Pending,Duplicate,NGN,BRC013,User_29,Rejected,Duplicate entry,POS,2/13/2024
TXN000131,3/1/2024,Mar 2024,,Withdrawal,-57.78,General Ledger,Mismatched,Incorrect Amount,GBP,BRC002,User_15,Approved,Needs review,Manual Entry,3/1/2024
TXN000132,1/7/2024,Jan 2024,ACC000169,Unknown,7545.86,General Ledger,Pending,Missing,EUR,BRC018,User_34,Rejected,Needs review,ATM,1/7/2024
TXN000133,3/24/2024,Mar 2024,ACC000128,Invoice,7948.76,CRM,Adjusted,Incorrect Amount,GBP,BRC007,User_40,Rejected,No Comments,Manual Entry,3/24/2024
TXN000134,3/2/2024,Mar 2024,ACC000316,Withdrawal,10039.03,Payroll,Adjusted,Incorrect Amount,GBP,BRC013,User_17,Rejected,Duplicate entry,POS,3/2/2024
TXN000135,3/2/2024,Mar 2024,ACC000234,Deposit,8317.96,General Ledger,Pending,Missing,NGN,BRC005,User_14,Pending,Urgent,ATM,3/2/2024
TXN000136,1/31/2024,Jan 2024,ACC000219,Invoice,10071.33,ERP,Mismatched,None,NGN,BRC016,User_21,Approved,No Comments,ATM,1/31/2024
TXN000137,3/19/2024,Mar 2024,ACC000465,Payment,1071.65,General Ledger,Matched,None,EUR,BRC007,User_20,Rejected,Duplicate entry,Online,3/19/2024
TXN000138,1/26/2024,Jan 2024,ACC000024,Withdrawal,5756.92,CRM,Pending,Missing,NGN,BRC020,User_14,Pending,No Comments,Online,1/26/2024
TXN000139,3/23/2024,Mar 2024,ACC000049,Transfer,-879.16,CRM,Mismatched,Duplicate,EUR,BRC015,User_30,Pending,Confirmed,Wire Transfer,3/23/2024
TXN000140,1/19/2024,Jan 2024,ACC000214,Withdrawal,1791.05,CRM,Adjusted,Duplicate,EUR,BRC003,User_49,Rejected,No Comments,Manual Entry,1/19/2024
TXN000141,2/8/2024,Feb 2024,ACC000403,Invoice,6835.17,Payroll,Adjusted,None,GBP,BRC012,User_30,Approved,Urgent,POS,2/8/2024
TXN000142,3/18/2024,Mar 2024,ACC000368,Withdrawal,2298.4,CRM,Pending,None,GBP,BRC001,User_12,Pending,No Comments,Manual Entry,3/18/2024
TXN000143,3/15/2024,Mar 2024,ACC000235,Invoice,8033.39,ERP,Adjusted,Duplicate,USD,BRC009,User_24,Rejected,Confirmed,POS,3/15/2024
TXN000144,1/8/2024,Jan 2024,ACC000180,Withdrawal,11783.58,ERP,Adjusted,Incorrect Amount,EUR,BRC020,User_5,Approved,No Comments,POS,1/8/2024
TXN000145,3/12/2024,Mar 2024,ACC000307,Payment,-4493.61,Bank,Adjusted,None,NGN,BRC003,User_21,Pending,Duplicate entry,ATM,3/12/2024
TXN000146,1/24/2024,Jan 2024,ACC000187,Transfer,-4577.27,Payroll,Matched,None,CAD,BRC007,User_32,Approved,Duplicate entry,Manual Entry,1/24/2024
TXN000147,1/7/2024,Jan 2024,ACC000062,Invoice,2963.6,Bank,Mismatched,Missing,CAD,BRC005,User_20,Pending,Urgent,Wire Transfer,1/7/2024
TXN000148,1/5/2024,Jan 2024,ACC000162,Unknown,2452.03,General Ledger,Matched,None,NGN,BRC016,User_45,Approved,Confirmed,Manual Entry,1/5/2024
TXN000149,1/19/2024,Jan 2024,ACC000026,Withdrawal,-970.62,CRM,Pending,Missing,GBP,BRC006,User_10,Pending,Confirmed,Manual Entry,1/19/2024
TXN000150,2/11/2024,Feb 2024,ACC000348,Payment,14171.9,General Ledger,Mismatched,Incorrect Amount,EUR,BRC002,User_1,Pending,No Comments,POS,2/11/2024
TXN000151,3/9/2024,Mar 2024,ACC000117,Withdrawal,11039.07,ERP,Mismatched,Duplicate,USD,BRC011,User_49,Rejected,No Comments,Manual Entry,3/9/2024
TXN000152,1/26/2024,Jan 2024,ACC000261,Invoice,11217.55,CRM,Matched,None,GBP,BRC017,User_14,Rejected,Urgent,Wire Transfer,1/26/2024
TXN000153,4/1/2024,Apr 2024,ACC000309,Transfer,9758.37,General Ledger,Matched,None,GBP,Unknown,User_8,Approved,Confirmed,ATM,
TXN000154,3/3/2024,Mar 2024,ACC000457,Transfer,166.88,Unknown,Pending,Duplicate,EUR,BRC016,User_28,Approved,Urgent,Wire Transfer,3/3/2024
TXN000155,2/25/2024,Feb 2024,ACC000487,Invoice,12991.74,General Ledger,Pending,Duplicate,GBP,BRC012,User_23,Pending,Confirmed,Manual Entry,2/25/2024
TXN000156,1/23/2024,Jan 2024,ACC000423,Invoice,7536.35,ERP,Matched,None,USD,BRC003,User_30,Approved,Urgent,ATM,1/23/2024
TXN000157,1/17/2024,Jan 2024,ACC000180,Deposit,5655.36,ERP,Adjusted,Incorrect Amount,GBP,BRC015,User_26,Pending,No Comments,ATM,1/17/2024
TXN000158,3/16/2024,Mar 2024,ACC000257,Withdrawal,6221.27,General Ledger,Matched,None,CAD,BRC015,User_40,Rejected,Needs review,Manual Entry,3/16/2024
TXN000159,3/26/2024,Mar 2024,ACC000320,Deposit,3398.98,CRM,Adjusted,Duplicate,NGN,BRC015,User_24,Approved,Confirmed,Manual Entry,
TXN000160,1/12/2024,Jan 2024,ACC000424,Payment,-717.78,ERP,Adjusted,Duplicate,GBP,BRC016,User_31,Pending,Duplicate entry,ATM,1/12/2024
TXN000161,2/2/2024,Feb 2024,ACC000081,Deposit,-1028.93,CRM,Adjusted,Incorrect Amount,NGN,BRC006,User_30,Approved,Duplicate entry,Wire Transfer,2/2/2024
TXN000162,3/22/2024,Mar 2024,ACC000075,Payment,2865.81,CRM,Pending,None,GBP,BRC007,User_29,Pending,Urgent,ATM,3/22/2024
